Ultima partita giocata.
"P D2 D3",
"P F7 F5",
"P H2 H4",
"P E7 E6",
"C G1 F3",
"B F8 B4",
"C B1 D2",
"P C7 C5",
"R H1 H2",
"P A7 A5",
"P B2 B3",
"C B8 C6",
"P C2 C4",
"C G8 F6",
"R H2 H3",
"P H7 H5",
"P E2 E3",
"Q D8 C7",
"Q D1 C2",
"R H8 H7",
"B F1 E2",
"P B7 B6",
"P A2 A4",
"R A8 A7",
"C F3 G5",
"R H7 H6",
"P F2 F3",
"Q C7 E5",
"P F3 F4",
"Q E5 A1",
"P G2 G3",
"P G7 G6",
"C G5 F3",
"B C8 B7",
"C F3 G5",
"P D7 D6",
"C G5 E6",
"R H6 H7",
"K E1 F1",
"C C6 E7",
"B E2 H5",
"C F6 H5",
"C E6 C7",
"K E8 F8",
"C C7 E6",
"K F8 G8",
"C E6 C7",
"B B7 G2",
"K F1 G2",
"R A7 C7",
"C D2 F3",
"C E7 C6",
"K G2 F2",
"R H7 H6",
"C F3 G5",
"B B4 E1",
"K F2 E1",
"C C6 B4",
"Q C2 G2",
"Q A1 C1",
"K E1 E2",
"Q C1 E1",
"K E2 E1",
"C B4 D3",
"K E1 D2",
"K G8 G7",
"K D2 D3",
"R C7 C6",
"Q G2 C6",
